maskType,pcbSize,pcbType,positionRtoL,maskWidth,maskHeight,maskRadius,X,Y,,
10inFPoss,10,Fposs,1,20,14,0.5,10,2,,
11inBulletTo9,11,digit,1,17.5,13.5,0.5,10.125,1.25,,
11inBulletTo9,11,misc,2,17.5,13.5,0.5,4.375,5.1503,,
11inTo19,11,digit,1,13.5,13.5,0.5,5.625,1.25,,
11inTo19,11,half,2,13.5,13.5,0.5,2.875,1.25,,Notes:
11inTo199,11,digit,1,22.5,13.5,0.5,14.5,1.25,,"30"" digit, BSO1340, and BSO1360 has positionRtoL from top to bottom (top=1)"
11inTo199,11,digit,2,22.5,13.5,0.5,5.75,1.25,,
11inTo199,11,half,3,22.5,13.5,0.5,3,1.25,,
11inTo9,11,digit,1,8.75,13.5,0.5,1.375,1.25,,
11inTo99,11,digit,1,17.5,13.5,0.5,10.125,1.25,,
11inTo99,11,digit,2,17.5,13.5,0.5,1.375,1.25,,
15inBulletTo9,15,digit,1,20.875,16.875,0.5,11.7752,1.2905,,
15inBulletTo9,15,misc,2,20.875,16.875,0.5,5.25,6.8378,,
15inETo9,15,digit,1,20.875,16.875,0.5,11.776,1.288,,
15inETo9,15,E,2,20.875,16.875,0.5,1.4,1.288,,
15inH,15,H,1,10.5,16.875,0.5,1.49,1.288,,
15inHE,15,E,1,20.875,16.875,0.5,11.776,1.288,,
15inHE,15,H,2,20.875,16.875,0.5,1.4,1.288,,
15inHETo9,15,digit,1,32.0011,16.875,0.5,22.6504,1.288,,
15inHETo9,15,E,2,32.0011,16.875,0.5,12.15,1.288,,
15inHETo9,15,H,3,32.0011,16.875,0.5,1.65,1.288,,
15inTo9,15,digit,1,10.5,16.875,0.5,1.3697,1.288,,
15inTo99,15,digit,1,20.875,16.875,0.5,11.776,1.288,,
15inTo99,15,digit,2,20.875,16.875,0.5,1.4,1.288,,
18inTo19,18,digit,1,20,20,0.5,8.275,1.375,,
18inTo19,18,half,2,20,20,0.5,4,1.575,,
18inTo199,18,digit,1,32.7,20,0.5,20.9756,1.375,,
18inTo199,18,digit,2,32.7,20,0.5,7.4756,1.375,,
18inTo199,18,half,3,32.7,20,0.5,4,1.5737,,
18inTo9,18,digit,1,14,20,0.5,2.275,1.375,,
18inTo99,18,digit,1,27.5,20,0.5,15.775,1.375,,
18inTo99,18,digit,2,27.5,20,0.5,2.275,1.375,,
24inTo19,24,digit,1,23.5,26,0.5,8.275,1.35,,
24inTo19,24,half,2,23.5,26,0.5,4.55,1.65,,
24inTo199,24,digit,1,41,26,0.5,25.75,1.35,,
24inTo199,24,digit,2,41,26,0.5,8.7514,1.35,,
24inTo199,24,half,3,41,26,0.5,4.55,1.65,,
24inTo9,24,digit,1,17,26,0.5,2.2,1.35,,
24inTo99,24,digit,1,34,26,0.5,19.2,1.35,,
24inTo99,24,digit,2,34,26,0.5,2.2,1.35,,
30inTo9,30,top,1,20,32,0.5,2.3,1.4,,
30inTo9,30,middle,2,20,32,0.5,2.7,10.8,,
30inTo9,30,bottom,3,20,32,0.5,2,21.9,,
3inBall,3,ball,1,14.75,4.875,0.5,2.874,1.187,,
3inBPoss,3,bonus,1,19.25,4.875,0.5,11.8804,1.2373,,
3inBPoss,3,poss,2,19.25,4.875,0.5,2.88,1.2373,,
3inBPossR,3,bonus,1,19.25,4.875,0.5,11.8804,1.2373,,
3inBPossR,3,poss,2,19.25,4.875,0.5,2.88,1.2373,,
3inOut,3,out,1,14.75,4.875,0.5,5.124,1.2375,,
3inSDown,3,SDown3_4,1,19.25,4.875,0.5,11.8804,1.2373,,
3inSDown,3,SDown1_2,2,19.25,4.875,0.5,2.88,1.2373,,
3inStrike,3,strike,1,14.75,4.875,0.5,5.124,1.2375,,
4inBall,4,ball,1,18,6,0.5,3,1.4,,
4inBSO1340,4,ball,1,19,20,0.5,3.5,1.4,,
4inBSO1340,4,strike,2,19,20,0.5,3.5,8.4,,
4inBSO1340,4,out,3,19,20,0.5,3.5,15.4,,
4inBSO1360,4,down_3_4,1,25,20,0.5,15.5,2.4,,
4inBSO1360,4,down_1_2,2,25,20,0.5,3.5,2.4,,
4inBSO1360,4,misc_G,4,25,20,0.5,15.5,8.4,,
4inBSO1360,4,misc_F,3,25,20,0.5,21.5,8.4,,
4inBSO1360,4,qtr_1_2,5,25,20,0.5,3.5,8.4,,
4inBSO1360,4,misc,7,25,20,0.5,3.5,14.4,,
4inBSO1360,4,misc,6,25,20,0.5,9.5,14.4,,
4inDownQ,4,down_3_4,1,25,6,0.5,15.5,1.4,,
4inDownQ,4,down_1_2,2,25,6,0.5,3.5,1.4,,
4inDQtr,4,misc_G,2,25,6,0.5,15.5,1.4,,
4inDQtr,4,misc_F,1,25,6,0.5,21.5,1.4,,
4inDQtr,4,qtr_1_2,3,25,6,0.5,3.5,1.4,,
4inMisc,4,misc,1,8,8,0.5,4,2.4,,
4inMisc_A,4,misc_A,1,8,8,0.5,4,2.4,,
4inMisc_C,4,misc_C,1,8,8,0.5,4,2.4,,
4inMisc_I,4,misc_I,1,8,8,0.5,4,2.4,,
4inOut,4,out,1,18,6,0.5,6,1.4,,
4inStrike,4,strike,1,18,6,0.5,6,1.4,,
7inFPoss,7,Fposs,1,14,10,0.5,7,1.75,,
scorelink,0,scorelink,1,3.093,4.35,0.25,1.5465,2.175,,
scorelinkG,0,scorelink,1,3.093,4.35,0.25,1.5465,2.175,,
scorelinkH,0,scorelink,1,3.093,4.35,0.25,1.5465,2.175,,
3inBonus_C,3,bonus_C,1,5.8,5.5,0.5,1.5,1.1504,,
3inBonus_E,3,bonus_E,1,5.8,5.5,0.5,1.5,1.1504,,
3inBonusPossL,3,Bposs_<,1,10.6,9.5,0.5,4.65,1.25,,
3inBonusPossL,3,bonus_C,2,10.6,9.5,0.5,1.55,5.25,,
3inBonusPossL,3,bonus_E,3,10.6,9.5,0.5,6.25,5.25,,
3inBonusPossR,3,Bposs_>,1,10.6,9.5,0.5,5.95,4.05,,
3inBonusPossR,3,bonus_E,2,10.6,9.5,0.5,1.55,5.25,,
3inBonusPossR,3,bonus_C,3,10.6,9.5,0.5,6.25,5.25,,
3inPoss_<,3,Bposs_<,1,5.8,5.5,0.5,4.6522,1.3496,,
3inPoss_>,3,Bposs_>,1,5.8,5.5,0.5,1.1476,4.1504,,
5inDblBonusL2R,5,bonus_E,2,13,7.25,0.5,7.45,1.15,,
5inDblBonusL2R,5,bonus_C,1,13,7.25,0.5,1.7,1.15,,
5inPoss_<,5,Bposs_<,1,7.25,7.25,0.5,5.9,6.075,,
5inPoss_>,5,Bposs_>,1,7.25,7.25,0.5,1.35,1.175,,
6inTo9,6,digit,1,5.5,8.5,0.5,0.95,0.95,,
6inTo99_red,6,digit,1,10.5,8.5,0.5,5.95,0.95,,
6inTo99_red,6,digit,2,10.5,8.5,0.5,0.95,0.95,,
6inTo99_amber,6,digit,1,10.5,8.5,0.5,5.95,0.95,,
6inTo99_amber,6,digit,2,10.5,8.5,0.5,0.95,0.95,,
6inTo99_green,6,digit,1,10.5,8.5,0.5,5.95,0.95,,
6inTo99_green,6,digit,2,10.5,8.5,0.5,0.95,0.95,,
9inTo9_red,9,digit,1,6.8003,11,0.5,1,1.0996,,
9inTo9,9,digit,1,6.8003,11,0.5,1,1.0996,,
9inTo19,9,digit,1,9.5,11,0.5,3.7,1.1,,
9inTo19,9,half,2,9.5,11,0.5,1.8,1.1,,
9inTo99_green,9,digit,1,13.5,11,0.5,7.7,1.1,,
9inTo99_green,9,digit,2,13.5,11,0.5,1,1.1,,
9inTo99_amber,9,digit,1,13.5,11,0.5,7.7,1.1,,
9inTo99_amber,9,digit,2,13.5,11,0.5,1,1.1,,
9inTo99_red,9,digit,1,13.5,11,0.5,7.7,1.1,,
9inTo99_red,9,digit,2,13.5,11,0.5,1,1.1,,
9inTo199,9,digit,1,16.2,11,0.5,10.4,1.1,,
9inTo199,9,digit,2,16.2,11,0.5,3.7,1.1,,
9inTo199,9,half,3,16.2,11,0.5,1.8,1.1,,
9inClock,9,digit,1,29.2,11,0.5,23.4,1.1,,
9inClock,9,digit,2,29.2,11,0.5,16.7,1.1,,
9inClock,9,colonDec,3,29.2,11,0.5,14.6,2.9,,
9inClock,9,digit,4,29.2,11,0.5,7.7,1.1,,
9inClock,9,digit,5,29.2,11,0.5,1,1.1,,
9inPenClock,9,digit,1,22.5,11,0.5,16.7,1.1,,
9inPenClock,9,digit,2,22.5,11,0.5,10,1.1,,
9inPenClock,9,colon,3,22.5,11,0.5,7.9,2.9,,
9inPenClock,9,digit,4,22.5,11,0.5,1,1.1,,
12inTo9_red,12,digit,1,8.9,14.5,0.5,1.25,1.25,,
12inTo9,12,digit,1,8.9,14.5,0.5,1.25,1.25,,
12inTo19,12,digit,1,11.7,14.5,0.5,4.05,1.25,,
12inTo19,12,half,2,11.7,14.5,0.5,2.05,1.25,,
12inTo99,12,digit,1,17.3,14.5,0.5,9.65,1.25,,
12inTo99,12,digit,2,17.3,14.5,0.5,1.25,1.25,,
12inTo199,12,digit,1,20.0996,14.5,0.5,12.4497,1.25,,
12inTo199,12,digit,2,20.0996,14.5,0.5,4.0498,1.25,,
12inTo199,12,half,3,20.0996,14.5,0.5,2.0498,1.25,,
12inClock,12,digit,1,36.5,14.5,0.5,28.8496,1.25,,
12inClock,12,digit,2,36.5,14.5,0.5,20.4492,1.25,,
12inClock,12,colonDec,3,36.5,14.5,0.5,18.25,4.25,,
12inClock,12,digit,4,36.5,14.5,0.5,9.6499,1.25,,
12inClock,12,digit,5,36.5,14.5,0.5,1.25,1.25,,
16inTo199,16,digit,1,25.7,18.9,0.5,15.7,1.2,,
16inTo199,16,digit,2,25.7,18.9,0.5,4.6,1.2,,
16inTo199,16,half,3,25.7,18.9,0.5,2.3,1.2,,
16inClock,16,digit,1,47.8,18.9,0.5,37.725,1.2,,
16inClock,16,digit,2,47.8,18.9,0.5,26.625,1.2,,
16inClock,16,colonDec,3,47.8,18.9,0.5,23.9,5.4,,
16inClock,16,digit,4,47.8,18.9,0.5,12.225,1.2,,
16inClock,16,digit,5,47.8,18.9,0.5,1.125,1.2,,
3_5_Indoor,5,9x16Indoor,1,34,6.75,0.5,24.1245,1.0951,,
3_5_Indoor,5,9x16Indoor,2,34,6.75,0.5,15.0053,1.0951,,
3_5_Indoor,5,9x16Indoor,3,34,6.75,0.5,5.8843,1.0951,,
3_5_Indoor,5,9x16Indoor_half,4,34,6.75,0.5,1.3247,1.0951,,
4_5_Indoor,7,14x16Indoor,1,43,10,0.5,33.186,1.294,,
4_5_Indoor,7,14x16Indoor,2,43,10,0.5,24.066,1.294,,
4_5_Indoor,7,14x16Indoor,3,43,10,0.5,14.946,1.294,,
4_5_Indoor,7,14x16Indoor,4,43,10,0.5,5.826,1.294,,
4_5_Indoor,7,14x16Indoor_half,5,43,10,0.5,1.266,1.294,,
3_Indoor,5,,1,29,6.75,0.5,19.345,1.0951,,
3_Indoor,5,9x16Indoor,2,29,6.75,0.5,10.225,1.0951,,
3_Indoor,5,9x16Indoor,3,29,6.75,0.5,1.105,1.0951,,
LX7406,6,digit,1,23,10,0,17.2789,1.7,,
LX7406,6,digit,2,23,10,0,12.4789,1.7,,
LX7406,6,digit,3,23,10,0,6.925,1.7,,
LX7406,6,digit,4,23,10,0,2.125,1.7,,
LX2160,12,digit,1,24,27,0,13.3,4.5,,
LX2160,12,digit,2,24,27,0,4.3,4.5,,
LX2160,4,misc,3,24,27,0,12,20.4,,
LX2180,6,digit,1,29,27,0,21.1363,3.3122,,
LX2180,6,digit,2,29,27,0,16.1363,3.3122,,
LX2180,6,digit,3,29,27,0,9.1363,3.3122,,
LX2180,6,digit,4,29,27,0,4.1363,3.3122,,
LX2180,4,misc,5,29,27,0,24.9363,13.5122,,
LX2180,12,digit,6,29,27,0,15.7363,12.1122,,
LX2180,12,digit,7,29,27,0,6.7363,12.1122,,
LX2180,4,misc,8,29,27,0,3.9363,13.5122,,
9pix_HALF,7,9x16Outdoor_half,1,8,9.75,0.3,1.625,1.475,,
9pix_MID,7,9x16Outdoor,1,13.6,9.75,0,0.425,1.475,,
9pix_END,7,9x16Outdoor,1,14.65,9.75,0.3,0.425,1.475,,
9pix_END_flip,7,9x16Outdoor,1,14.65,9.75,0.3,1.475,1.475,,
14pix_HALF,5,7x16Outdoor_half,1,8,14,0.3,1.625,1.475,,
14pix_HALF,5,7x16Outdoor_half,2,8,14,0.3,1.625,7.425,,
14pix_MID,5,7x16Outdoor,1,13.6,14,0,0.425,1.475,,
14pix_MID,5,7x16Outdoor,2,13.6,14,0,0.425,7.425,,
14pix_END,5,7x16Outdoor,1,14.65,14,0.3,0.425,1.475,,
14pix_END,5,7x16Outdoor,2,14.65,14,0.3,0.425,7.425,,
14pix_END_flip,5,7x16Outdoor,1,14.65,14,0.3,1.475,1.475,,
14pix_END_flip,5,7x16Outdoor,2,14.65,14,0.3,1.475,7.425,,
